id,antiguedad_meses,monto_operacion,dias_mora,score_riesgo,antiguedad_meses_norm,monto_operacion_norm,dias_mora_norm,score_riesgo_norm,segmento_Empresa,segmento_Microempresa,segmento_Pyme,segmento_pyme,region_Biobio,region_Metropolitana,region_O'Higgins,region_Valparaiso,region_metropolitana,canal_EJECUTIVO,canal_Ejecutivo,canal_Sucursal,canal_Web,canal_web,estado_Activo,estado_Moroso,estado_No informado,estado_Revision
1,24.0,1500000.0,0.0,0.12,0.3571428571428571,0.29411764705882354,0.0,0.10256410256410256,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2,12.0,850000.0,5.0,0.25,0.14285714285714285,0.1411764705882353,0.08333333333333333,0.2692307692307693,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
3,36.0,2300000.0,0.0,0.08,0.5714285714285714,0.48235294117647065,0.0,0.05128205128205129,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4,6.0,920000.0,15.0,0.44,0.03571428571428571,0.15764705882352942,0.25,0.5128205128205129,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
5,18.0,920000.0,4.0,0.22,0.24999999999999997,0.15764705882352942,0.06666666666666667,0.2307692307692308,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
6,48.0,3100000.0,0.0,0.06,0.7857142857142857,0.6705882352941177,0.0,0.02564102564102564,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
7,9.0,400000.0,30.0,0.65,0.08928571428571427,0.035294117647058816,0.5,0.7820512820512822,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
8,15.0,760000.0,3.0,0.19,0.19642857142857142,0.12,0.05,0.19230769230769232,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
9,60.0,4500000.0,0.0,0.04,1.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
10,4.0,300000.0,45.0,0.78,0.0,0.011764705882352934,0.75,0.9487179487179489,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
11,22.0,1100000.0,2.0,0.18,0.3214285714285714,0.2,0.03333333333333333,0.1794871794871795,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
12,40.0,2800000.0,0.0,0.07,0.6428571428571428,0.6,0.0,0.03846153846153847,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
13,14.0,680000.0,8.0,0.27,0.17857142857142858,0.10117647058823528,0.13333333333333333,0.29487179487179493,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
14,18.0,250000.0,60.0,0.82,0.24999999999999997,0.0,1.0,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
15,30.0,1950000.0,0.0,0.09,0.4642857142857143,0.4,0.0,0.0641025641025641,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
16,20.0,990000.0,4.0,0.21,0.2857142857142857,0.17411764705882352,0.06666666666666667,0.21794871794871792,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
17,7.0,350000.0,25.0,0.21,0.053571428571428575,0.023529411764705875,0.4166666666666667,0.21794871794871792,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
18,52.0,3400000.0,0.0,0.05,0.8571428571428571,0.7411764705882353,0.0,0.012820512820512824,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
19,16.0,840000.0,6.0,0.23,0.21428571428571427,0.1388235294117647,0.1,0.24358974358974364,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
20,5.0,280000.0,50.0,0.71,0.01785714285714285,0.007058823529411763,0.8333333333333334,0.8589743589743589,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
